sensor_id,plant_id,timestamp,power_consumption,voltage,current,temperature,power_factor,frequency,is_anomaly
SENSOR_A01,PLANT_A,2026-06-28T22:26:46.878111Z,478.02,221.78,2.43,66.51,0.881,50.05,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:46.878111Z,448.97,221.02,1.69,65.22,0.887,50.0,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:46.878111Z,492.54,218.87,2.73,68.61,0.88,49.96,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:46.878111Z,435.29,218.53,2.42,60.98,0.854,50.06,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:46.878111Z,476.63,218.9,1.97,67.76,0.869,50.06,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:46.878111Z,237.28,221.81,0.8,57.9,0.865,49.92,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:46.878111Z,226.9,218.99,1.3,56.0,0.881,50.06,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:46.878111Z,336.81,221.42,0.7,93.26,0.86,49.93,1
SENSOR_C01,PLANT_C,2026-06-28T22:26:46.878111Z,110.41,219.16,0.62,48.15,0.858,49.97,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:46.878111Z,96.25,221.43,0.75,43.93,0.866,49.97,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:47.916794Z,470.99,219.27,2.5,67.8,0.863,50.06,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:47.916794Z,455.94,219.33,2.23,64.95,0.865,49.9,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:47.916794Z,484.31,159.11,4.77,68.26,0.853,50.07,1
SENSOR_A04,PLANT_A,2026-06-28T22:26:47.916794Z,435.09,220.96,1.6,61.11,0.88,50.07,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:47.916794Z,494.13,220.89,2.16,66.18,0.882,50.05,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:47.916794Z,242.23,218.01,1.53,57.83,0.862,50.02,0
